"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"1",29.91,30.25,29.4,29.860001,76935100,23.950705
"2",29.700001,29.969999,29.440001,29.809999,45774500,23.910599
"3",29.629999,29.75,29.450001,29.639999,44607200,23.774242
"4",29.65,30.1,29.530001,29.93,50220200,24.006852
"5",30,30.18,29.73,29.959999,44636600,24.030914
"6",29.799999,29.889999,29.43,29.66,55017400,23.790284
"7",29.76,30.75,29.65,30.700001,99464300,24.624469
"8",30.65,31.389999,30.639999,31.209999,103972500,25.033538
"9",31.26,31.450001,31.030001,31.16,62379600,24.993434
"10",31.26,31.440001,31.01,31.1,58519600,24.945309
"11",31.15,31.370001,30.799999,31,56364300,24.865098
"12",30.73,31.110001,30.690001,31.110001,75826900,24.95333
"13",31.059999,31.120001,30.51,30.719999,56143900,24.64051
"14",30.629999,30.959999,30.52,30.74,49171200,24.656552
"15",30.780001,31.299999,30.65,31.09,58527800,24.937287
"16",31.08,31.48,30.450001,30.450001,97378700,24.423944
"17",31.219999,31.23,30.6,30.6,96103700,24.544259
"18",30.65,30.780001,30.34,30.530001,57605900,24.488112
"19",30.57,30.639999,30.139999,30.48,61900400,24.448006
"20",30.41,31.1,30.35,30.860001,73968400,24.752805
"21",30.84,30.940001,30.370001,30.559999,55355800,24.512174
"22",30.82,30.84,30.129999,30.190001,60401700,24.215398
"23",29.969999,30.02,29.41,29.610001,99102100,23.75018
"24",29.59,29.75,29.219999,29.51,79281100,23.66997
"25",29.639999,29.700001,29.25,29.370001,65145500,23.557676
"26",29.24,29.799999,29.200001,29.26,48749000,23.469445
"27",29.35,29.4,28.93,28.98,69823100,23.244856
"28",28.889999,29.09,28.83,28.940001,52774400,23.212773
"29",29.040001,29.200001,28.959999,29.01,50348100,23.349603
"30",29.17,29.690001,29.15,29.4,55588600,23.663506
"31",29.58,29.65,29.219999,29.459999,63858100,23.711798
"32",28.91,28.940001,28.65,28.74,109340300,23.132284
"33",28.629999,28.860001,28.469999,28.83,53978200,23.204724
"34",28.75,29.389999,28.74,29.35,68604900,23.623262
"35",29.309999,29.540001,29.16,29.389999,57754400,23.655457
"36",29.219999,29.280001,28.889999,28.9,63787100,23.261065
"37",28.959999,29.09,28.82,29.07,63481900,23.397895
"38",28.709999,28.969999,27.790001,27.870001,87143300,22.432038
"39",27.950001,28.25,27.92,28.17,86333300,22.673502
"40",27.82,28.33,27.73,28.09,80175700,22.609112
"41",28.02,28.16,27.76,27.76,63254700,22.343501
"42",27.49,27.91,27.41,27.549999,56454300,22.174475
"43",27.799999,27.940001,27.65,27.83,49361800,22.399842
"44",27.76,27.9,27.549999,27.610001,52044700,22.222769
"45",27.719999,27.85,26.6,27.32,72175200,21.989353
"46",27.42,27.48,27.030001,27.290001,80125000,21.965207
"47",27.18,27.48,27.129999,27.440001,36516400,22.085939
"48",27.25,27.4,26.709999,26.719999,75169500,21.506424
"49",26.82,27.4,26.73,27.4,75730300,22.053743
"50",27.32,27.469999,27.200001,27.280001,51757100,21.957158
"51",27.35,27.48,27.200001,27.33,65055300,21.997402
"52",27.34,27.83,27.200001,27.83,49412000,22.399842
"53",27.93,28.16,27.76,27.84,47902400,22.407891
